#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
r,l,t
-59.733396,134,502.477457
-90.148799,94,503.434218
-77.373507,65,504.097178
-78.105848,80,504.924185
-133.801263,121,506.181202
-55.934587,82,507.016363
-72.746689,91,507.962583
-22.994127,136,509.35437
-90.600555,163,511.061531
-104.067425,81,511.885307
-111.906367,106,512.961952
-215.138447,113,514.11754
-117.386373,73,514.874579
-41.855709,129,516.238546
-109.283267,90,517.165194
-88.815371,123,518.427018
-221.858365,114,519.610854
-89.619419,167,521.339504
-50.127556,67,522.021126
-104.434318,77,522.800645
-78.247402,71,523.522694
-79.502083,121,524.774039
-37.14215,77,525.57825
-72.01559,74,526.340946
-79.371216,89,527.261784
-102.199395,68,527.957451
-99.962334,99,528.976483
-52.887365,173,530.775904
-92.656553,123,532.029875
-102.959181,61,532.657804
-47.134534,81,533.497178
-85.050341,117,534.713467
-82.708642,134,536.099705
-126.93191,98,537.111865
-52.890867,78,537.915902
-48.919654,122,539.195871
-28.923874,126,540.504497
-183.602171,108,541.621513
-50.568018,70,542.349641
-54.832917,72,543.096711
-154.560451,86,544.002995
-96.750149,104,545.089233
-115.35586,111,546.23433
-48.038164,90,547.167863
-83.006068,135,548.575592
-38.21756,75,549.36593
-68.27912,108,550.487468
-188.973254,133,551.859641
-71.933125,131,553.208552
-64.658024,167,554.972569
-96.509264,65,555.645603
-92.632186,153,557.229257
-200.76633,126,558.552435
-56.143115,114,559.746067
-194.565166,147,561.260595
-85.874885,78,562.061695
-108.720576,109,563.21947
-84.647893,116,564.444968
-95.711074,121,565.702379
-24.095988,90,566.642127
-59.214604,69,567.367572
-163.79102,85,568.269622
-92.561159,128,569.612537
-73.746051,85,570.492372
-53.518,118,571.720981
-115.907941,108,572.850835
-64.425232,123,574.171201
-88.954783,165,575.908586
-116.355835,64,576.577205
-120.9696,67,577.290125
-74.664827,145,578.862195
-14.619459,167,580.635938
-99.112032,111,581.813742
-57.316496,68,582.537139
-124.101541,135,583.988147
-150.351204,140,585.477328
-78.701758,72,586.251043
-23.168783,120,587.543191
-73.979268,94,588.55687
-61.275602,87,589.483496
-68.422757,148,591.062417
-75.381147,130,592.457324
-17.73155,84,593.356745
-59.959063,137,594.819088
-168.180864,126,596.169003
-65.966836,77,596.996996
-110.723974,119,598.283731
-115.268299,90,599.246215
-56.725996,97,600.278237
-108.487201,111,601.464445
-71.48607,88,602.430787
-91.145694,117,603.68201
-103.368913,97,604.729758
-183.479713,116,605.97867
-99.005577,69,606.719833
-51.940177,82,607.623075
-73.812625,114,608.849682
-177.207486,123,610.170378
-37.57022,159,611.904634
-89.972936,65,612.614721
-30.818426,159,614.324049
-124.356068,103,615.43709
-111.702193,130,616.843836
3.138386,113,618.073192
-104.396313,134,619.511989
-140.200746,125,620.849565
-15.426253,175,622.757017
-56.138404,106,623.891639
-181.643121,135,625.347042
-108.706041,109,626.534528
-94.754192,111,627.738157
-90.507365,114,628.960436
-114.850441,89,629.915161
-110.411326,129,631.319491
-90.844885,111,632.521683
-83.472355,71,633.291703
-74.192314,117,634.562535
-71.712694,129,635.9527
-78.688596,68,636.705456
-52.44278,106,637.844462
-57.734208,80,638.715684
-128.821439,95,639.737604
-81.914041,111,640.972167
-58.153285,87,641.935617
22.924005,127,643.308516
-47.722801,96,644.3436
-99.449108,167,646.178282
-175.004416,127,647.575302
-117.049438,75,648.383579
